Target,Model,step,RMSE
Circle,Splanifold,1,0.226495
Circle,Splanifold,51,0.127994
Circle,Splanifold,101,0.061114
Circle,Splanifold,151,0.028710
Circle,Splanifold,201,0.015467
Circle,Splanifold,251,0.009448
Circle,Splanifold,301,0.005800
Circle,Splanifold,351,0.003438
Circle,Splanifold,401,0.002020
Circle,Splanifold,451,0.001314
Circle,Splanifold,501,0.001078
Circle,Splanifold,551,0.001054
Circle,Splanifold,601,0.001054
Circle,Splanifold,651,0.001066
Circle,Splanifold,701,0.001089
Circle,Splanifold,751,0.001080
Circle,Splanifold,801,0.001090
Circle,Splanifold,851,0.001141
Circle,Splanifold,901,0.001101
Circle,Splanifold,951,0.001082
Circle,Splanifold,1001,0.001433
Circle,Splanifold,1051,0.001076
Circle,Splanifold,1101,0.001106
Circle,Splanifold,1151,0.001103
Circle,Splanifold,1201,0.001080
Circle,Splanifold,1251,0.001104
Circle,Splanifold,1301,0.001080
Circle,Splanifold,1351,0.001510
Circle,Splanifold,1401,0.001272
Circle,Splanifold,1451,0.001105
Circle,Splanifold,1501,0.001101
Circle,Splanifold,1551,0.001083
Circle,Splanifold,1601,0.001469
Circle,Splanifold,1651,0.001065
Circle,Splanifold,1701,0.001130
Circle,Splanifold,1751,0.001216
Circle,Splanifold,1801,0.001081
Circle,Splanifold,1851,0.001243
Circle,Splanifold,1901,0.001379
Circle,Splanifold,1951,0.001274
Circle,Splanifold,2000,0.001309
Circle,RBF,1,0.892296
Circle,RBF,51,0.109866
Circle,RBF,101,0.069280
Circle,RBF,151,0.057258
Circle,RBF,201,0.048938
Circle,RBF,251,0.043002
Circle,RBF,301,0.038596
Circle,RBF,351,0.035189
Circle,RBF,401,0.032463
Circle,RBF,451,0.030228
Circle,RBF,501,0.028369
Circle,RBF,551,0.026808
Circle,RBF,601,0.025488
Circle,RBF,651,0.024363
Circle,RBF,701,0.023392
Circle,RBF,751,0.022545
Circle,RBF,801,0.021794
Circle,RBF,851,0.021118
Circle,RBF,901,0.020501
Circle,RBF,951,0.019930
Circle,RBF,1001,0.019397
Circle,RBF,1051,0.018895
Circle,RBF,1101,0.018418
Circle,RBF,1151,0.017969
Circle,RBF,1201,0.017533
Circle,RBF,1251,0.017120
Circle,RBF,1301,0.016726
Circle,RBF,1351,0.016349
Circle,RBF,1401,0.015990
Circle,RBF,1451,0.015924
Circle,RBF,1501,0.015324
Circle,RBF,1551,0.015011
Circle,RBF,1601,0.014717
Circle,RBF,1651,0.014439
Circle,RBF,1701,0.014175
Circle,RBF,1751,0.014762
Circle,RBF,1801,0.013702
Circle,RBF,1851,0.013468
Circle,RBF,1901,0.013259
Circle,RBF,1951,0.013063
Circle,RBF,2000,0.012881
Circle,MLP,1,0.487510
Circle,MLP,51,0.033023
Circle,MLP,101,0.011876
Circle,MLP,151,0.008330
Circle,MLP,201,0.006702
Circle,MLP,251,0.005814
Circle,MLP,301,0.005257
Circle,MLP,351,0.004873
Circle,MLP,401,0.006741
Circle,MLP,451,0.004479
Circle,MLP,501,0.004239
Circle,MLP,551,0.004109
Circle,MLP,601,0.004042
Circle,MLP,651,0.003937
Circle,MLP,701,0.003855
Circle,MLP,751,0.005790
Circle,MLP,801,0.003785
Circle,MLP,851,0.003691
Circle,MLP,901,0.003670
Circle,MLP,951,0.004162
Circle,MLP,1001,0.003592
Circle,MLP,1051,0.006278
Circle,MLP,1101,0.003502
Circle,MLP,1151,0.004470
Circle,MLP,1201,0.003508
Circle,MLP,1251,0.003402
Circle,MLP,1301,0.017513
Circle,MLP,1351,0.003588
Circle,MLP,1401,0.003301
Circle,MLP,1451,0.004629
Circle,MLP,1501,0.003213
Circle,MLP,1551,0.003172
Circle,MLP,1601,0.003124
Circle,MLP,1651,0.007120
Circle,MLP,1701,0.003082
Circle,MLP,1751,0.002993
Circle,MLP,1801,0.002946
Circle,MLP,1851,0.007722
Circle,MLP,1901,0.002921
Circle,MLP,1951,0.002809
Circle,MLP,2000,0.002821
Helix,Splanifold,1,0.404542
Helix,Splanifold,51,0.220003
Helix,Splanifold,101,0.104908
Helix,Splanifold,151,0.049242
Helix,Splanifold,201,0.026519
Helix,Splanifold,251,0.016197
Helix,Splanifold,301,0.009943
Helix,Splanifold,351,0.005893
Helix,Splanifold,401,0.003463
Helix,Splanifold,451,0.002253
Helix,Splanifold,501,0.001848
Helix,Splanifold,551,0.001807
Helix,Splanifold,601,0.001807
Helix,Splanifold,651,0.001828
Helix,Splanifold,701,0.001843
Helix,Splanifold,751,0.001849
Helix,Splanifold,801,0.001869
Helix,Splanifold,851,0.001857
Helix,Splanifold,901,0.001852
Helix,Splanifold,951,0.001853
Helix,Splanifold,1001,0.002457
Helix,Splanifold,1051,0.001851
Helix,Splanifold,1101,0.001852
Helix,Splanifold,1151,0.002427
Helix,Splanifold,1201,0.001895
